Date,Open,High,Low,Close,Adj Close,Volume
2004-06-23,3.75,4.325,3.6875,4.3,4.3,43574400
2004-06-24,4.3875,4.4225,4.125,4.19,4.19,8887200
2004-06-25,4.1275,4.1875,3.9475,3.95,3.95,6710000
2004-06-28,4.0,4.0525,3.86,4.0,4.0,2270800
2004-06-29,4.0,4.175,3.9575,4.1,4.1,2112000
2004-06-30,4.1,4.235,4.0075,4.0175,4.0175,2087600
2004-07-01,4.02,4.05,3.975,4.0075,4.0075,1754800
2004-07-02,4.025,4.245,4.0125,4.245,4.245,993200
2004-07-06,4.2325,4.25,4.12,4.25,4.25,1216800
2004-07-07,4.225,4.225,4.0125,4.0775,4.0775,1787600
2004-07-08,4.0775,4.0775,3.915,3.935,3.935,2179200
2004-07-09,3.985,4.1425,3.975,4.1,4.1,596800
2004-07-12,4.15,4.2075,4.0375,4.1875,4.1875,780800
2004-07-13,4.185,4.185,4.02,4.02,4.02,1674000
2004-07-14,4.0125,4.0125,3.895,3.9125,3.9125,2366000
2004-07-15,3.9375,3.95,3.735,3.835,3.835,1806000
2004-07-16,3.85,4.1,3.74,4.0,4.0,3278800
2004-07-19,4.0125,4.0425,3.9575,4.0025,4.0025,954800
2004-07-20,4.0025,4.045,3.8825,4.015,4.015,2245200
2004-07-21,4.025,4.025,2.7625,2.925,2.925,25415200
2004-07-22,2.8875,3.295,2.825,3.245,3.245,9824800
2004-07-23,3.2375,3.375,3.1875,3.26,3.26,1674400
2004-07-26,3.3875,3.3875,3.22,3.32,3.32,1286000
2004-07-27,3.345,3.3575,3.275,3.285,3.285,751200
2004-07-28,3.2625,3.305,3.15,3.2475,3.2475,1534800
2004-07-29,3.25,3.3375,3.2375,3.24,3.24,908000
2004-07-30,3.24,3.3,3.1375,3.2525,3.2525,815200
2004-08-02,3.245,3.27,3.1425,3.2025,3.2025,1297600
2004-08-03,3.2,3.2725,2.9975,3.0325,3.0325,2944400
2004-08-04,3.0325,3.0375,2.9875,2.995,2.995,2746800
2004-08-05,2.9975,2.9975,2.67,2.725,2.725,3030400
2004-08-06,2.725,2.75,2.6775,2.6925,2.6925,1797200
2004-08-09,2.7375,2.7625,2.715,2.7475,2.7475,1121600
2004-08-10,2.75,2.76,2.72,2.75,2.75,733200
2004-08-11,2.7375,2.7375,2.6475,2.655,2.655,628400
2004-08-12,2.68,2.6825,2.48,2.4975,2.4975,1578000
2004-08-13,2.4975,2.5125,2.3675,2.3975,2.3975,2496000
2004-08-16,2.4,2.4625,2.25,2.43,2.43,2171200
2004-08-17,2.47,2.7475,2.47,2.7425,2.7425,2968000
2004-08-18,2.725,3.0375,2.67,2.9875,2.9875,1697600
2004-08-19,2.9875,3.0625,2.925,3.0425,3.0425,1309600
2004-08-20,3.125,3.3,2.9725,3.15,3.15,4034800
2004-08-23,3.175,3.2375,3.09,3.125,3.125,1127600
2004-08-24,3.15,3.195,3.105,3.1925,3.1925,1072400
2004-08-25,3.2,3.2625,3.125,3.24,3.24,1200800
2004-08-26,3.2425,3.25,3.2025,3.225,3.225,471200
2004-08-27,3.25,3.3025,3.225,3.2875,3.2875,463600
2004-08-30,3.305,3.315,3.265,3.2925,3.2925,606000
2004-08-31,3.3,3.3125,3.175,3.25,3.25,874400
2004-09-01,3.3,3.3325,3.29,3.3325,3.3325,512800
2004-09-02,3.32,3.4925,3.32,3.4725,3.4725,998800
2004-09-03,3.475,3.485,3.405,3.4375,3.4375,924000
2004-09-07,3.44,3.44,3.35,3.3575,3.3575,1192000
2004-09-08,3.3325,3.3325,3.2875,3.31,3.31,550000
2004-09-09,3.31,3.325,3.2425,3.2925,3.2925,2529200
2004-09-10,3.2875,3.575,3.2875,3.5625,3.5625,2795200
