Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,94.1875,94.375,87.75,88.3125,73.446465,1822600
2000-01-04,87.0,87.5,82.25,82.75,68.820305,1647700
2000-01-05,80.875,81.875,78.375,78.875,65.597595,1516600
2000-01-06,78.625,84.5,78.625,82.25,68.404495,1845100
2000-01-07,83.0625,83.1875,79.875,82.5625,68.664406,1127400
2000-01-10,81.75,84.875,81.75,84.375,70.171768,803100
2000-01-11,85.0,86.25,84.5625,84.8125,70.535629,808600
2000-01-12,84.125,86.0,83.375,84.375,70.171768,916100
2000-01-13,85.125,85.125,82.875,84.5,70.275734,711000
2000-01-14,85.5,86.9375,85.3125,85.625,71.211372,607000
2000-01-18,85.0,89.125,84.75,86.875,72.25093100000001,1095700
2000-01-19,86.875,89.375,86.75,87.5625,72.822701,636900
2000-01-20,87.0,87.9375,84.875,85.9375,71.56933599999999,621800
2000-01-21,86.1875,86.1875,84.5625,85.6875,71.361137,542500
2000-01-24,87.5,87.5,81.5,81.75,68.081932,712900
2000-01-25,83.0,84.1875,82.375,83.875,69.851662,749300
2000-01-26,84.125,88.5,84.125,88.25,73.495171,1086600
2000-01-27,88.25,89.9375,87.625,89.0,74.119781,702000
2000-01-28,87.5,88.0,86.125,87.0,72.454185,776800
2000-01-31,87.0,91.6875,86.5,91.625,76.305908,801800
2000-02-01,92.875,93.0,90.5,91.25,75.993607,813100
2000-02-02,90.75,91.625,88.625,91.125,75.889526,964700
2000-02-03,90.0,91.125,84.8125,85.375,71.100883,2213300
2000-02-04,87.25,87.25,83.5625,84.6875,70.528351,1451700
2000-02-07,84.4375,86.5,83.5,85.75,71.413193,929800
2000-02-08,85.75,89.625,85.75,89.4375,74.484131,1024800
2000-02-09,89.4375,89.4375,86.5625,86.75,72.245972,397100
2000-02-10,86.75,87.3125,85.5,86.625,72.14190699999999,503200
2000-02-11,86.4375,88.75,85.0,85.125,70.89267,856900
2000-02-14,85.125,86.875,84.625,86.5,72.03778100000001,627800
2000-02-15,86.25,86.625,85.125,86.5,72.03778100000001,542400
2000-02-16,86.75,87.3125,82.875,82.9375,69.070915,720300
2000-02-17,84.75,84.75,81.125,82.125,68.394196,895500
2000-02-18,84.5,84.5,80.75,80.8125,67.301186,925500
2000-02-22,81.25,82.375,80.6875,81.5625,67.925789,720100
2000-02-23,81.3125,87.0,81.0625,85.75,71.413193,702900
2000-02-24,85.8125,89.9375,85.5,89.625,74.640297,1199800
2000-02-25,89.4375,94.0,88.25,89.25,74.328018,1333000
2000-02-28,89.25,89.25,87.0,88.0,73.286987,518000
2000-02-29,88.75,92.5,88.0,92.5,77.034592,1381200
2000-03-01,93.25,96.75,93.1875,94.75,78.908424,1488900
2000-03-02,95.25,97.875,94.125,96.25,80.157677,1819200
2000-03-03,97.0,102.5,96.75,102.5,85.362701,2295900
2000-03-06,102.75,105.25,102.375,103.6875,86.35163100000001,1421000
2000-03-07,103.9375,105.75,102.4375,104.875,87.340614,1041300
2000-03-08,105.0,105.375,99.6875,101.75,84.738098,1041100
2000-03-09,101.75,108.1875,101.25,107.1875,89.266479,535500
2000-03-10,109.75,119.0,108.5,112.25,93.482567,2034400
2000-03-13,107.5,115.5,106.5,110.375,91.921013,1454200
2000-03-14,111.5,112.875,103.5,104.75,87.23650400000001,653100
2000-03-15,102.5,105.5,101.375,103.5625,86.247528,700300
2000-03-16,103.875,105.0,99.25,103.3125,86.039314,2024800
2000-03-17,104.125,117.375,103.25,116.5,97.021996,2099400
2000-03-20,117.625,123.0,112.5625,113.4375,94.471535,2254000
2000-03-21,111.0,119.8125,106.5,118.25,98.479424,2692800
2000-03-22,114.875,117.9375,114.8125,117.15619699999999,97.56845899999999,1258900
2000-03-23,116.5,119.0,115.125,119.0,99.104004,1656900
2000-03-24,119.0,128.0,117.6875,121.3125,101.029877,1934400
2000-03-27,118.25,119.375,111.75,112.0,93.274315,1315000
2000-03-28,109.5,115.5,108.5,113.25,94.315361,1649400
2000-03-29,114.0,116.125,110.75,114.1875,95.096085,754300
2000-03-30,112.625,115.0,105.125,106.875,89.006241,1241200
2000-03-31,108.0,111.875,103.3125,105.25,87.65293100000001,1693300
2000-04-03,108.75,110.8125,105.5,105.5,87.861092,1789500
2000-04-04,106.0,106.25,91.125,98.25,81.823265,3739600
2000-04-05,97.5,99.625,93.5,97.4375,81.146606,3238700
2000-04-06,101.0,106.0,100.0,106.0,88.27755,1675700
2000-04-07,106.25,107.25,101.1875,102.5,85.362701,1373500
2000-04-10,104.0,109.125,103.5625,107.0625,89.162361,1749900
2000-04-11,107.125,108.3125,104.3125,104.8125,87.28855899999999,1147200
2000-04-12,106.5,107.25,96.5,96.5625,80.417885,2598500
2000-04-13,96.75,98.125,92.3125,95.25,79.32482900000001,3377700
2000-04-14,92.75,92.75,79.4375,82.75,68.914757,4855800
2000-04-17,81.75,87.75,81.0,87.5,72.870613,3489600
2000-04-18,87.5,94.9375,86.875,93.75,78.075653,2191500
2000-04-19,93.4375,93.5,89.625,92.0625,76.768532,1390200
2000-04-20,91.8125,91.8125,88.0,88.8125,74.05843399999999,1061100
2000-04-24,88.8125,91.5,84.625,86.875,72.442825,1764300
2000-04-25,88.625,97.875,87.5,97.0625,80.937927,1341500
2000-04-26,97.5625,99.125,94.0,94.5,78.801102,1626100
2000-04-27,91.5,96.25,90.375,95.1875,79.374397,1772400
2000-04-28,96.25,97.5,90.875,93.25,77.758759,1145600
2000-05-01,93.25,101.625,93.25,97.0,80.885796,2319300
2000-05-02,95.0,97.625,92.5,93.0,77.55029300000001,1666500
2000-05-03,92.25,95.75,89.6875,91.125,75.986763,1931000
2000-05-04,91.375,92.0,88.125,90.1875,75.205017,920700
2000-05-05,89.375,92.1875,87.4375,89.875,74.944435,1378100
2000-05-08,86.0,87.875,85.75,87.3125,72.807632,2817000
